****************************************************************************************************************************************************
**                                                                                                                                                **
** CMG TimeSeries Property Names                                                                                                                  **
** Replace the string '$C' by actual component name                                                                                               **
**                                                                                                                                                **
** File Generated: 08/23/2018 06:01:52 PM                                                                                                         **
**                                                                                                                                                **
****************************************************************************************************************************************************

NAME                                                            DESCRIPTION
----------------------------------------------------------------------------------------------------------------------------------------------------
 Values of FCDTABLE entries                                     Values of FCDTABLE entries
# of gor entries per table (wellbore)                           # of gor entries per table (wellbore)
# of oil-rate entries per table                                 # of oil-rate entries per table
# of well pools to meet the field target                        # of well pools to meet the field target
% HC Pore Vol Inject                                            Percentage hydrocarbon pore volume injected
-1 no well attached; >0 first well # -1                         -1 no well attached; >0 first well # -1
1=target rate 0=max rate prod. -1=none.                         1=target rate 0=max rate prod. -1=none.
1st parameter to control pressure maintenance                   1st parameter to control pressure maintenance
2nd parameter to control pressure maintenance                   2nd parameter to control pressure maintenance
3  times the number of wells                                    3  times the number of wells
3 times NGLAYR                                                  3 times NGLAYR
3rd parameter to control pressure maintenance                   3rd parameter to control pressure maintenance
ABAQUS: Number of coupling                                      ABAQUS: Number of coupling
action after max. no. workovers                                 action after max. no. workovers
action if node constraint is violated                           action if node constraint is violated
Adjusted gas PG threshold                                       Adjusted gas potential gradient threshold
Adjusted PG threshold                                           Adjusted oil potential gradient threshold
Adjusted water PG threshold                                     Adjusted water potential gradient threshold
ALQ value for well                                              ALQ value for well
ALQ values for table                                            ALQ values for table
Alternate phase for autodrill                                   Alternate phase for autodrill
amalgamate pointer 1 for dyngrd                                 amalgamation pointer 1 for dynamic gridding
amalgamate pointer 2 for dyngrd                                 amalgamation pointer 1 for dynamic gridding
Amalgamation flag                                               Grid amalgamation flag
Amalgamation time                                               Grid amalgamation time
ANLS temp distrib - SAM                                         Annulus temperature distribution - SAM
API Gravity of Oil                                              API Gravity of Oil
Aqueous Component Moles SCTR                                    Aqueous Component Moles per SCTR
Aqueous Component Moles SCTR$C                                  Aqueous Component Moles$C per SCTR
Aquf Water Influx SCTR                                          Water influx from aquifer per sector
Aquifer constants                                               aquifer constants
Aquifer cum influx                                              aquifer cumulative influx
Artificial Lift group values                                    Artificial Lift group values
Artificial Lift Quantity identifier for table                   Artificial Lift Quantity identifier for table
Artificial resistance flag                                      Artificial resistance - logical flag
Ave DAPRE HC POVO SCTR                                          Average datum pressure for hydrocarbon volume per sector
Ave Datum Pres POVO SCTR                                        Average datum pressure for pore volume per sector
Ave P/Z HC POVO SCTR                                            Average P/Z for hydrocarbon volume per sector
Ave P/Z POVO SCTR                                               Average P/Z for total volume per sector
Ave polymer conc - Sector                                       Average polymer concentration per sector
Ave Pres HC POVO SCTR                                           Average pressure for hydrocarbon volume per sector
Ave Pres POVO SCTR                                              Average pressure for pore volume per sector
Ave reservoir pres                                              Average reservoir pressure
Ave Reservoir Temp                                              Block Vol. Weighted Average Reservoir Temperature
Ave Seawater Frac - Sector                                      Average seawater volume fraction per sector
Average geothermal gradient                                     Average geothermal gradient
Average Implicitness %                                          Average Implicitness over Timestep %
Average Temperature SCTR                                        Average temperature per sector
Backflow Flag                                                   Well Backflow Flag
Backflow switch flag                                            Backflow switch flag
Base value for GLR constraint                                   Base value for GLR constraint
Base value for GOR constraint                                   Base value for GOR constraint
Base value for PRS constraint                                   Base value for PRS constraint
Base value for STEAM1 constraint                                Base value for STEAM1 constraint
Base value for STEAMTRAP2 constraint                            Base value for STEAMTRAP2 constraint
Base value for WGR constraint                                   Base value for WGR constraint
Base value for WOR constraint                                   Base value for WOR constraint
BHF time-span-cumulatiion RC per well array                     Well bottom-hole-fluid accumulation within a network timestep - surface conditions 
Bhp constraint for each well                                    Bhp constraint for each well
BHP value used in priority calculation                          BHP value used in priority calculation
BHP value used in priority formula                              BHP value used in priority formula
BHPMIN                                                          Group Cycling Control - Minimum BHP Prod.
BHPMXX                                                          Group Cycling Control - Maximum Stream BHPs
Black Oil Cum Prod SCTR                                         Black Oil Cumulative Production per sector
Black Oil Mol. Cum. Prod                                        Black Oil Molar Cumulative Production
Black Oil Mol. Cum. Prod$C                                      Black Oil Component Molar Cumulative Production$C
Black Oil Mol. P.R.                                             Black Oil Molar Production Rate
Black Oil Mol. P.R.$C                                           Black Oil Component Molar Production Rate$C
Black Oil Moles IPF                                             Black Oil Moles in Place Fluid per sector
Black Oil Moles IPF$C                                           Black Oil Component Moles in Place Fluid per sector$C
Black Oil Prod Rate SCTR                                        Black Oil Production Rate per sector
Black Oil Vol. Cum. Prod.                                       Black Oil Volumetric Cumulative Production
Black Oil Vol. Prod. Rate                                       Black Oil Volumetric Production Rate
Black Oil Volume IPF                                            Black Oil Volume in Place Fluids per sector
Block type flag                                                 flag for block type
Blocks with Flash Failure                                       No. of Blocks with Flash Failure
Bottom Hole Fluid Rate RC                                       Total volumetric rate all phases - reservoir conditions
Bottomhole Pressure                                             Well Bottomhole Pressure
BP pres in PVT table                                            Bubble-Point pressure in PVT table
Casing emissivity                                               Casing emissivity
Casing inner radius                                             Casing inner radius
Casing length                                                   Casing length
Casing outer radius                                             Casing outer radius
Casing wall thermal conductivity                                Casing wall thermal conductivity
cc for individual well                                          cc for individual well
CCWELL                                                          Accumulated well conductive heat flow
Cement thermal conductivity                                     Cement thermal conductivity
CGMDHL                                                          Downhole Gas Phase Component Mole/Mass
CGV                                                             Surface Gas Phase Component Volume
CGVDHL                                                          Downhole Gas Phase Component Volume
change well status                                              change well status
CHWELL                                                          Accumulated well stream enthalpy
C-Layer-to-G-Layer Pointer                                      Contiguous-Layer-to-Global-Layer Pointer
CO2 Aqueous Ions (mol)                                          Total moles CO2 Aqueous Ions
CO2 Dissolved (mol)                                             Total moles CO2 Dissolved
CO2 Gas (mol)                                                   Total moles CO2 Gas
CO2 Liquid (mol)                                                Total moles CO2 Liquid
CO2 Mineral (mol)                                               Total moles CO2 Mineral (Change)
CO2 Super-Critical (mol)                                        Total moles CO2 Super-Critical
CO2 Trapped (mol)                                               Total moles CO2 Trapped
Coal Desorption Time$C                                          Coal Desorption Time$C
Coal Diffusion (by component)$C                                 Coal Diffusion (by component)$C
Co-current flow flag in flex wellbore                           Co-current flow flag in flex wellbore
COMDHL                                                          Downhole Oil Phase Component Mole/Mass
compaction pressure mask                                        compaction pressure mask
Complete storage                                                Complete storage for DYNGRD restart
Conden. Mol. Cum. Prod                                          Condensate Molar Cumulative Production
Conden. Mol. Cum. Prod$C                                        Condensate Component Molar Cumulative Production$C
Conden. Mol. Prod. Rate                                         Condensate Molar Production Rate
Conden. Mol. Prod. Rate$C                                       Condensate Component Molar Production Rate$C
Conden. Vol. Cum. Prod.                                         Condensate Volumetric Cumulative Production
Conden. Vol. Prod. Rate                                         Condensate Volumetric Production Rate
Condensate Cum Prod SCTR                                        Condensate Cumulative Production per sector
Condensate Moles IPF                                            Condensate Moles in Place Fluid per sector
Condensate Moles IPF$C                                          Condensate Component Moles in Place Fluids per sector$C
Condensate Prod Rate SCTR                                       Condensate Production Rate per sector
Condensate Volume IPF                                           Condensate Volume in Place Fluids per sector
condition for pool rate reporting                               condition for pool rate reporting
Conductive Heat Flow Inje Cum SCTR                              Conductive Heat Flow injection cumulative per sector
Conductive Heat Flow Inje Rate SCTR                             Conductive Heat Flow injection rate per sector
Conductive Heat Flow Prod Cum SCTR                              Conductive Heat Flow production cumulative per sector
Conductive Heat Flow Prod Rate SCTR                             Conductive Heat Flow production rate per sector
Connate sg of  layer for the gl rel ..                          Connate sg of  layer for the gl rel ..
Connate sl of  layer for the gl rel ..                          Connate sl of  layer for the gl rel ..
Connate sw of  layer for the ow rel ..                          Connate sw of  layer for the ow rel ..
Connection Flux Gas RC                                          Flux for gas phase by connection at reservoir conditions
Connection Flux Oil RC                                          Flux for oil phase by connection at reservoir conditions
Connection Flux Solvent RC                                      Flux for Solvent phase by connection at reservoir conditions
Connection Flux Water RC                                        Flux for water phase by connection at reservoir conditions
Connection Num for Pthresh of Faults                            Connection Num for Pthresh of Faults
Connection Num for Pthresh of ITYPE                             Connection Num for Pthresh of ITYPE
Connection to lower ps                                          Connection to lower packed storage
Connection to Reordered Connection                              Connection to Reordered Connection
Connection to upper ps                                          Connection to upper packed storage
Connection Velocity Gas RC                                      Velocity for gas phase by connection at reservoir conditions
Connection Velocity Light Oil (API) RC                          Velocity for API-Tracking Light Component by connection at reservoir conditions
Connection Velocity Oil RC                                      Velocity for oil phase by connection at reservoir conditions
Connection Velocity Polymer RC                                  Velocity for Polymer phase by connection at reservoir conditions
Connection Velocity Seawater RC                                 Velocity for seawater phase by connection at reservoir conditions
Connection Velocity Solvent RC                                  Velocity for Solvent phase by connection at reservoir conditions
Connection Velocity Water RC                                    Velocity for water phase by connection at reservoir conditions
constraint type for group/field nodes                           constraint type for group/field nodes
Constraint type in history matching mode                        Constraint type in history matching mode for each well
Control lump - Flag for segmented and conventional              Control lump - Flag for segmented and conventional
Control lump - global layer number                              Control lump - global layer number
Control lump - last entry in the linked list                    Control lump - last entry in the linked list
Control lump - next entry in the linked list                    Control lump - next entry in the linked list
Control lump - setting value                                    Control lump - setting value
Control lump - well number                                      Control lump - well number
Control Lump Characters                                         Control Lump character quantities
Control lump layer setting value                                Control lump setting value - multiplies WI
COV                                                             Surface Oil Phase Component Volume
COVDHL                                                          Downhole Oil Phase Component Volume
CPUS Cum                                                        CPU secs from start of run
CPUS Rate                                                       CPU secs per simulation time
CPUS TS                                                         CPU secs for time step
Critical sg for  each well layer                                Critical sg for  each well layer
Critical sg for well layer                                      Critical sg for well layer
Critical sw of  layer for the ow rel ..                         Critical sw of  layer for the ow rel ..
Critical sw of well layer for the ow rel ..                     Critical sw of well layer for the ow rel ..
CSBHPI                                                          CSS groups - injection max BHP
CSBHPP                                                          CSS groups - production min BHP
CSPIRT                                                          CSS groups - production DEP. INDEX
CSQOIL                                                          CSS groups - production min OIL
CSQWTR                                                          CSS groups - injection MIN_QWTR
CSS group constraint list                                       CSS group constraint list
CSS group constraint list dimension                             CSS group constraint list dimension
CSTHET                                                          CSS groups - injection TOT_HEAT
CSTLIQ                                                          CSS groups - production TOT_LIQ
CSTMPR                                                          CSS groups - production min TEMP
CSTWI                                                           CSS groups - injection TOT_TIME
CSTWIP                                                          CSS groups - inj. - prod. shut TOT_TIME
CSTWP                                                           CSS groups - production TOT_TIME
CSTWPI                                                          CSS groups - prod. - inj. shut TOT_TIME
CSTWTR                                                          CSS groups - injection TOT_WATER
CTRL GC                                                         Gas cumulative per control/report lump
CTRL GLR                                                        Control/Report Lump Gas-liquid ratio
CTRL GOR                                                        Control/Report Lump Gas-oil ratio
CTRL GR                                                         Gas rate per control/report lump
CTRL LC                                                         Oil/water/BHF cumulative per control/report lump
CTRL LR                                                         Oil/water/BHF rate per control/report lump
CTRL OGR                                                        Control/Report Lump Oil-gas ratio
CTRL PLMC                                                       Polymer mass cumulative per control/report lump
CTRL PLMR                                                       Polymer mass rate per control/report lump
CTRL SC                                                         Solvent cumulative per control/report lump
CTRL SR                                                         Solvent rate per control/report lump
CTRL SWTC                                                       Seawater cumulative per control/report lump
CTRL SWTR                                                       Seawater rate per control/report lump
CTRL WCUT                                                       Control/Report Lump Water Cut ratio
CTRL WGR                                                        Control/Report Lump Water-gas ratio
Cum boundary heatloss                                           Cumulative boundary heatloss
Cum Elect. Flow                                                 Cumulative Electrical Boundary Flow
Cum flow across lease                                           Cumulative flow across lease line
Cum Im. Elect. Flow                                             Cumulative Imaginary Electrical Boundary Flow
Cum Inj Conductive Heat Flow SCTR                               Cumulative injected Conductive Heat Flow per sector
Cum Inj Mass SCTR                                               Cumulative injected mass per sector
Cum Inj Mol SCTR                                                Cumulative injected mole per sector
Cum Inj Vol SCTR                                                Cumulative injected vol/enthalpy per sector
Cum lift gas injected for each well                             Cum lift gas injected for each well
Cum Mag. Elect. Flow                                            Cumulative Magnitude Electrical Boundary Flow
Cum mass flow across i-conn of fluxsector                       Cumulative mass flow across the interface of i-connected sectors
Cum mass flow across j-conn of fluxsector                       Cumulative mass flow across the interface of j-connected sectors
Cum mass flow across k-conn of fluxsector                       Cumulative mass flow across the interface of k-connected sectors
Cum overburden heatloss                                         Cumulative overburden heatloss
Cum Prod Conductive Heat Flow SCTR                              Cumulative produced Conductive Heat Flow per sector
Cum Prod Mass SCTR                                              Cumulative produced mass per sector
Cum Prod Mol SCTR                                               Cumulative produced mole per sector
Cum Prod Vol SCTR                                               Cumulative produced vol/enthalpy per sector
Cum RC flow across i-con of fluxsector                          Cumulative flow across the interface of i-connected fluxsectors (RC)
Cum RC flow across i-conn of fluxsector                         Cumulative flow across the interface of i-connected fluxsectors (RC)
Cum RC flow across j-con of fluxsector                          Cumulative flow across the interface of j-connected fluxsectors (RC)
Cum RC flow across j-conn of fluxsector                         Cumulative flow across the interface of j-connected fluxsectors (RC)
Cum RC flow across k-con of fluxsector                          Cumulative flow across the interface of k-connected fluxsectors (RC)
Cum RC flow across k-conn of fluxsector                         Cumulative flow across the interface of k-connected fluxsectors (RC)
Cum SC flow across i-con of fluxsector                          Cumulative flow across the interface of i-connected fluxsectors (SC)
Cum SC flow across i-conn of fluxsector                         Cumulative flow across the interface of i-connected fluxsectors (SC)
Cum SC flow across j-con of fluxsector                          Cumulative flow across the interface of j-connected sectors (SC)
Cum SC flow across j-conn of fluxsector                         Cumulative flow across the interface of j-connected sectors (SC)
Cum SC flow across k-con of fluxsector                          Cumulative flow across the interface of k-connected fluxsectors (SC)
Cum SC flow across k-conn of fluxsector                         Cumulative flow across the interface of k-connected fluxsectors (SC)
Cum underburden heatloss                                        Cumulative underburden heatloss
Cumulative Bottom Hole Fluid RC                                 Total volume accumulation all phases - reservoir conditions 
Cumulative Gas Inje. Moles SC                                   Gas phase moles injected - surface conditions
Cumulative Gas Inje. Moles$C SC                                 Gas phase moles injected$C - surface conditions
Cumulative Gas Injection SC                                     Gas phase injection volume accumulation - surface conditions
Cumulative Gas Mass RC                                          Gas phase mass accumulations - reservoir conditions
Cumulative Gas Mass SC                                          Gas phase mass accumulations - surface conditions
Cumulative Gas Mass$C RC                                        Gas phase mass accumulation$C - reservoir conditions
Cumulative Gas Mass$C SC                                        Gas phase mass accumulation$C - surface conditions
Cumulative Gas Moles RC                                         Gas phase mole cumulative - reservoir conditions
Cumulative Gas Moles SC                                         Gas phase mole cumulative - surface conditions
Cumulative Gas Moles$C RC                                       Gas phase moles accumulation$C - reservoir conditions
Cumulative Gas Moles$C SC                                       Gas phase moles accumulation$C - surface conditions
Cumulative Gas Phase Moles SC                                   Gas phase mole cumulative - surface conditions
Cumulative Gas Phase Prod. Moles SC                             Gas phase moles produced - surface conditions
Cumulative Gas Prod. Moles SC                                   Gas phase moles produced - surface conditions
Cumulative Gas Prod. Moles$C SC                                 Gas phase moles produced$C - surface conditions
Cumulative Gas RC                                               Gas phase volume accumulation - reservoir conditions 
Cumulative Gas SC                                               Gas phase volume accumulation - surface conditions 
Cumulative Gas$C RC                                             Gas phase component volume accumulation$C - reservoir cond
Cumulative Gas$C SC                                             Gas phase component volume accumulation$C - surface cond
Cumulative Gas[Sum] RC                                          Gas phase component volume accumulation[Sum] - reservoir cond
Cumulative Gas[Sum] SC                                          Gas phase component volume accumulation[Sum] - surface cond
Cumulative INL Mass SC                                          Intermediate Liquid mass accumulations - surface conditions
Cumulative INL Mass$C SC                                        Intermediate Liquid mass accumulation$C - surface conditions
Cumulative INL Moles SC                                         Intermediate Liquid mole cumulative - surface conditions
Cumulative INL Moles$C SC                                       Intermediate Liquid moles accumulation$C - surface conditions
Cumulative INL Phase Moles SC                                   INL phase mole cumulative - surface conditions
Cumulative INL Phase Prod. Moles SC                             Gas phase moles produced - surface conditions
Cumulative INL Prod. Moles SC                                   Intermediate Liquid moles produced - surface conditions
Cumulative INL Prod. Moles$C SC                                 Intermediate Liquid moles produced$C - surface conditions
Cumulative INL SC                                               Intermediate Liquid volume accumulation - surface conditions 
Cumulative INL$C SC                                             Intermediate Liquid component volume accumulation$C - surface cond
Cumulative INL[Sum] SC                                          Intermediate Liquid component volume accumulation[Sum] - surface cond
Cumulative lift gas injected per well                           Cumulative lift gas injected per well
Cumulative lift gas volume                                      Cumulative lift gas volume - surface conditions
Cumulative Light Oil (API) RC                                   Light Oil (API) Component accumulation - Reservoir conditions 
Cumulative Light Oil (API) SC                                   Light API Oil Component accumulation - surface conditions 
Cumulative Liquid RC                                            Oil + Water phase volume accumulation - reservoir conditions 
Cumulative Liquid SC                                            Oil + Water phase volume accumulation - surface conditions 
Cumulative Oil Mass RC                                          Oil phase mass accumulations - reservoir conditions
Cumulative Oil Mass SC                                          Oil phase mass accumulations - surface conditions
Cumulative Oil Mass$C RC                                        Oil phase mass accumulation$C - reservoir conditions
Cumulative Oil Mass$C SC                                        Oil phase mass accumulation$C - surface conditions
Cumulative Oil Moles RC                                         Oil phase mole cumulative - reservoir conditions
Cumulative Oil Moles SC                                         Oil phase mole cumulative - surface conditions
Cumulative Oil Moles$C RC                                       Oil phase moles accumulation$C - reservoir conditions
Cumulative Oil Moles$C SC                                       Oil phase moles accumulation$C - surface conditions
Cumulative Oil Phase Moles SC                                   Oil phase mole cumulative - surface conditions
Cumulative Oil Phase Prod. Moles SC                             Oil phase moles produced - surface conditions
Cumulative Oil Prod. Moles SC                                   Oil phase moles produced - surface conditions
Cumulative Oil Prod. Moles$C SC                                 Oil phase moles produced$C - surface conditions
Cumulative Oil RC                                               Oil phase volume accumulation - reservoir conditions 
Cumulative Oil SC                                               Oil phase volume accumulation - surface conditions 
Cumulative Oil$C RC                                             Oil phase component volume accumulation$C - reservoir cond
Cumulative Oil$C SC                                             Oil phase component volume accumulation$C - surface cond
Cumulative Oil[Sum] RC                                          Oil phase component volume accumulation[Sum] - reservoir cond
Cumulative Oil[Sum] SC                                          Oil phase component volume accumulation[Sum] - surface cond
Cumulative Polymer Mass                                         Polymer Mass accumulation - surface or reservoir conditions
Cumulative Polymer RC                                           Polymer volume accumulation - reservoir conditions
Cumulative Polymer SC                                           Polymer volume accumulation - surface conditions
Cumulative Salt Fraction                                        Cumulative Salt Fraction
Cumulative Sand                                                 Sand Volume Accumulation
Cumulative Seawater RC                                          Seawater volume accumulation - reservoir conditions
Cumulative Seawater SC                                          Seawater volume accumulation - surface conditions
Cumulative Solvent Mass RC                                      Solvent phase mass accumulations - reservoir conditions
Cumulative Solvent Mass SC                                      Solvent phase mass accumulations - surface conditions
Cumulative Solvent Mass$C RC                                    Solvent phase mass accumulation$C - reservoir conditions
Cumulative Solvent Mass$C SC                                    Solvent phase mass accumulation$C - surface conditions
Cumulative Solvent Moles RC                                     Solvent phase mole cumulative - reservoir conditions
Cumulative Solvent Moles SC                                     Solvent phase mole cumulative - surface conditions
Cumulative Solvent Moles$C RC                                   Solvent phase moles accumulation$C - reservoir conditions
Cumulative Solvent Moles$C SC                                   Solvent phase moles accumulation$C - surface conditions
Cumulative Solvent RC                                           Solvent phase volume accumulation - reservoir conditions 
Cumulative Solvent SC                                           Solvent phase volume accumulation - surface conditions 
Cumulative Solvent$C RC                                         Solvent phase component volume accumulation$C - reservoir cond
Cumulative Solvent$C SC                                         Solvent phase component volume accumulation$C - surface cond
Cumulative Solvent[Sum] RC                                      Solvent phase component volume accumulation[Sum] - reservoir cond
Cumulative Solvent[Sum] SC                                      Solvent phase component volume accumulation[Sum] - surface cond
Cumulative Water Injection SC                                   Water phase injection volume accumulation - surface conditions
Cumulative Water Mass RC                                        Water phase mass accumulations - reservoir conditions
Cumulative Water Mass SC                                        Water phase mass accumulations - surface conditions
Cumulative Water Mass$C RC                                      Water phase mass accumulation$C - reservoir conditions
Cumulative Water Mass$C SC                                      Water phase mass accumulation$C - surface conditions
Cumulative Water Moles RC                                       Water phase mole cumulative - reservoir conditions
Cumulative Water Moles SC                                       Water phase mole cumulative - surface conditions
Cumulative Water Moles$C RC                                     Water phase moles accumulation$C - reservoir conditions
Cumulative Water Moles$C SC                                     Water phase moles accumulation$C - surface conditions
Cumulative Water Phase Moles SC                                 Water phase mole cumulative - surface conditions
Cumulative Water Phase Prod. Moles SC                           Cumulative Water Phase Prod. Moles - SC
Cumulative Water Prod. Moles SC                                 Cumulative Water Phase Moles Produced - SC
Cumulative Water Prod. Moles$C SC                               Cumulative Water Phase Moles Produced$C - SC
Cumulative Water RC                                             Water phase volume accumulation - reservoir conditions 
Cumulative Water SC                                             Water phase volume accumulation - surface conditions 
Cumulative Water$C RC                                           Water phase component volume accumulation$C - reservoir cond
Cumulative Water$C SC                                           Water phase component volume accumulation$C - surface cond
Cumulative Water[Sum] RC                                        Water phase component volume accumulation[Sum] - reservoir cond
Cumulative Water[Sum] SC                                        Water phase component volume accumulation[Sum] - surface cond
Cumulative WTG Mass SC                                          Wet Gas mass accumulations - surface conditions
Cumulative WTG Mass$C SC                                        Wet Gas mass accumulation$C - surface conditions
Cumulative WTG Moles SC                                         Wet Gas mole cumulative - surface conditions
Cumulative WTG Moles$C SC                                       Wet Gas moles accumulation$C - surface conditions
Cumulative WTG Phase Moles SC                                   WTG phase mole cumulative - surface conditions
Cumulative WTG Phase Prod. Moles SC                             Gas phase moles produced - surface conditions
Cumulative WTG SC                                               Wet Gas volume accumulation - surface conditions 
Cumulative WTG$C SC                                             Wet Gas component volume accumulation$C - surface cond
Cumulative WTG[Sum] SC                                          Wet Gas component volume accumulation[Sum] - surface cond
Current cycle number                                            Current cycle number
Current modified constraint type                                Current modified constraint type
current well constraint identifier                              current well constraint identifier
current well constraint identifier array                        current well constraint identifier
CWMDHL                                                          Downhole Water Phase Component Mole/Mass
CWV                                                             Surface Water Phase Component Volume
CWVDHL                                                          Downhole Water Phase Component Volume
data group control flag for nodes                               data group control flag for nodes
Datum pres - time zero                                          datum pressure at time zero
dd for each well                                                dd for each well
DEPNDX                                                          Group Cycling Control - Depletion Index
Depth of each table. Wellbore option                            Depth of each table. Wellbore option
Deviated Layer Flag                                             Well layer deviated geometry flag
Dilation Recompaction Path - Restart                            Geomech:  Dilation Recompaction Path - Restart
Direction of hydraulic fracturing                               Direction of hydraulic fracturing
Direction of maximum principle stress                           Direction of maximum principle stress
Direction of maximum principle stress for GEOGRID               GEOGRID Direction of maximum principle stress
Direction of minimum principle stress                           Direction of minimum principle stress
Direction of minimum principle stress for GEOGRID               GEOGRID Direction of minimum principle stress
Dis. wellbore blocks                                            Discretized wellbore blocks
DQDLWL                                                          OB heatloss - SAM
DQDLWLT                                                         OBT heatloss - SAM
Drainage Pco in w-o table                                       Drainage oil capillary pressure in w-o rel perm table
Drainage Pcog (l-g table)                                       Drainage Gas Capillary pressure in l-g rel perm table.
DTWCYC                                                          Group Cycling Control - Initial timestep
DTWINJ                                                          CSS groups - injection starting TS
DTWIP                                                           CSS groups - inj. - prod. shut starting TS
DTWPI                                                           CSS groups - prod. - inj. shut starting TS
